MONTH,OILPRICE,STOCKPRICE,GOLDPRICE
01/2017,54.580,1577.310,1192.617
02/2017,55.060,1559.560,1234.358
03/2017,51.600,1575.110,1231.093
04/2017,52.590,1566.320,1265.628
05/2017,50.450,1561.660,1245.005
06/2017,46.420,1574.740,1260.257
07/2017,48.510,1576.080,1236.221
08/2017,51.660,1616.160,1282.316
09/2017,56.070,1673.160,1314.979
10/2017,57.280,1721.370,1279.514
11/2017,62.630,1697.390,1282.284
12/2017,64.140,1753.710,1261.256
01/2018,69.130,1826.860,1331.666
02/2018,65.160,1830.130,1331.525
03/2018,65.890,1776.260,1324.657
04/2018,71.580,1780.110,1334.740
05/2018,76.850,1726.970,1303.026
06/2018,74.170,1595.580,1281.567
07/2018,74.330,1701.790,1238.525
08/2018,72.640,1721.580,1201.245
09/2018,78.800,1756.410,1198.473
10/2018,81.120,1669.090,1215.393
11/2018,64.660,1641.800,1220.945
12/2018,56.960,1563.880,1247.924
01/2019,59.370,1641.730,1291.745
02/2019,64.000,1653.480,1320.065
03/2019,66.080,1638.650,1300.898
04/2019,71.150,1673.520,1286.445
05/2019,70.850,1620.220,1283.948
06/2019,64.030,1730.340,1359.043
07/2019,63.910,1711.970,1412.978
08/2019,58.830,1654.920,1498.798
09/2019,62.570,1637.220,1511.314
10/2019,59.730,1601.490,1494.800
11/2019,63.110,1590.590,1470.017
12/2019,66.900,1579.840,1476.044
01/2020,63.380,1514.140,1560.673
02/2020,55.450,1340.520,1597.103
03/2020,31.710,1125.860,1591.927
04/2020,18.830,1301.660,1682.930
05/2020,28.810,1342.850,1716.382
06/2020,40.080,1339.030,1732.218
07/2020,43.270,1328.530,1843.313
08/2020,44.790,1310.660,1968.031
09/2020,40.580,1237.040,1922.214
10/2020,40.010,1194.950,1900.275
11/2020,42.540,1408.310,1863.493
12/2020,49.740,1449.350,1855.955
01/2021,54.730,1466.980,1866.985
02/2021,62.230,1496.780,1808.175
03/2021,65.560,1587.210,1718.228
04/2021,64.460,1583.130,1761.678
05/2021,68.510,1593.590,1855.560
06/2021,72.960,1587.790,1834.566
07/2021,74.990,1521.920,1807.093
08/2021,70.800,1638.750,1783.969
09/2021,74.400,1605.680,1777.252
10/2021,83.540,1623.430,1776.855
11/2021,81.370,1568.690,1820.234
12/2021,74.100,1657.620,1786.653
01/2022,86.610,1648.810,1816.765
02/2022,98.010,1685.180,1856.295
03/2022,118.750,1695.240,1947.828
04/2022,104.370,1667.440,1933.900
05/2022,113.130,1663.410,1849.833
06/2022,123.560,1568.330,1837.064
07/2022,112.630,1576.410,1737.380
08/2022,99.620,1638.930,1764.133
09/2022,89.820,1589.510,1683.208
10/2022,93.110,1608.760,1666.627
11/2022,91.100,1635.360,1727.899
12/2022,80.380,1668.660,1797.408
01/2023,82.860,1671.460,1896.060
02/2023,82.500,1622.350,1853.409
03/2023,78.290,1609.170,1913.648
04/2023,84.900,1529.120,1999.669
05/2023,75.820,1533.540,1989.827
06/2023,74.730,1503.100,1944.729
07/2023,80.090,1556.060,1950.270
08/2023,86.140,1565.940,1919.302
09/2023,93.960,1471.430,1915.435
10/2023,91.120,1381.830,1913.985
11/2023,83.050,1380.180,1985.778
12/2023,77.980,1415.850,2034.704
01/2024,80.260,1364.520,2034.006
02/2024,83.900,1370.670,2024.446
03/2024,85.440,1377.940,2162.346
04/2024,89.890,1367.950,2333.550
05/2024,81.820,1345.660,2350.597
06/2024,82.400,1300.960,2328.263
07/2024,85.250,1320.860,2393.962
08/2024,80.720,1359.070,2468.329
09/2024,74.260,1448.830,2569.049
10/2024,75.580,1466.040,2689.129
11/2024,74.250,1427.540,2652.200
12/2024,73.750,1400.210,2640.605
01/2025,79.250,1314.500,2707.467
02/2025,75.110,1203.720,2894.380
03/2025,72.540,1158.090,2986.256
04/2025,67.750,1197.260,3222.012
05/2025,64.070,1149.180,3288.010
06/2025,71.350,1089.560,3351.859
07/2025,70.950,1242.350,3341.649
08/2025,68.240,1236.610,3367.256
09/2025,67.900,1274.170,3666.524
10/2025,64.640,1309.500,4055.169
11/2025,63.630,1256.690,4085.231
12/2025,62.690,1259.670,4313.938
01/2026,66.730,1325.620,4719.706
