month,r,dlo,dlp,dloil
Sep-04,1.61,2.1747213,2.5074667,46.59378317
Oct-04,1.76,3.2234938,3.1410621,51.95011548
Nov-04,1.93,2.6527753,3.5575825,40.51172215
Dec-04,2.16,3.366311,3.2876768,28.39852106
Jan-05,2.28,3.614345,2.8051589,35.27349674
Feb-05,2.50,3.6668145,3.0073488,38.78118219
Mar-05,2.63,4.1727045,3.1564956,45.67584025
Apr-05,2.79,3.7817486,3.30652,43.47049558
May-05,3.00,3.2374267,2.8288948,25.8445949
Jun-05,3.04,4.5066034,2.5092796,43.49668743
Jul-05,3.26,3.6337377,3.0210632,40.87737746
Aug-05,3.50,3.5062176,3.5820076,40.34352846
Sep-05,3.62,1.5473836,4.6328408,37.58646383
Oct-05,3.78,1.8068338,4.2581452,16.20969843
Nov-05,4.00,2.5389751,3.2840304,24.79323398
Dec-05,4.16,2.4951213,3.2840304,36.1762988
Jan-06,4.29,2.0967412,3.9401361,34.72621006
Feb-06,4.49,1.5645808,3.5736319,28.05657826
Mar-06,4.59,1.84387,3.3608052,15.59247308
Apr-06,4.79,2.2539721,3.5500686,30.32692874
May-06,4.94,1.9022435,3.9002157,36.06956271
Jun-06,4.99,1.8772726,4.0966538,23.22646607
Jul-06,5.24,2.1380621,4.022664,24.74629473
Aug-06,5.25,2.1882319,3.8514388,13.50346386
Sep-06,5.25,4.0159487,1.9920977,-1.521611803
Oct-06,5.25,2.6949492,1.3965314,-1.254851017
Nov-06,5.25,1.6426921,1.9495743,6.177402276
Dec-06,5.24,2.0474277,2.4926514,9.409433528
Jan-07,5.25,1.4800555,2.0545147,-15.9935491
Feb-07,5.26,2.5602675,2.3914367,-4.501056946
Mar-07,5.26,2.3630464,2.759763,-0.016114737
Apr-07,5.25,2.6740972,2.5598785,-4.022320808
May-07,5.25,2.7828495,2.6738185,-3.752538978
Jun-07,5.25,2.4175939,2.6571481,3.567458025
Jul-07,5.26,2.3888024,2.2914355,4.330025678
Aug-07,5.02,2.2281624,1.8796714,-3.431130378
Sep-07,4.94,2.8814885,2.7944165,21.95217649
Oct-07,4.76,2.4074261,3.5470405,35.36952452
Nov-07,4.49,3.0080753,4.2803397,45.27738466
Dec-07,4.24,2.0840446,4.0266449,37.54035382
Jan-08,3.94,2.2230917,4.2050318,54.07026946
Feb-08,2.98,0.8881981,4.0594378,50.09437409
Mar-08,2.61,0.5321249,3.8979372,51.2982844
Apr-08,2.28,-1.0207286,3.8294909,48.00104392
May-08,1.98,-1.4698427,4.0070485,60.27349697
Jun-08,2.00,-1.7435935,4.8180132,62.18393767
Jul-08,2.01,-2.3088415,5.3517184,54.53457284
Aug-08,2.00,-4.0543702,5.1719367,47.0215591
Sep-08,1.81,-8.755307,4.8345492,23.10685254
Oct-08,0.97,-7.3847567,3.6631382,-14.0041311
Nov-08,0.39,-9.1017033,1.0939123,-56.63748631
Dec-08,0.16,-11.976982,-0.0222304,-82.24613075
Jan-09,0.15,-13.9372509,-0.1046858,-75.23625117
Feb-09,0.22,-14.3501044,0.0639232,-78.51572008
Mar-09,0.18,-15.6589705,-0.4343025,-80.06111978
Apr-09,0.15,-15.7415093,-0.6024411,-77.6373337
May-09,0.18,-16.2840421,-1.0322226,-76.2256392
Jun-09,0.21,-16.4277799,-1.2363259,-65.67849346
Jul-09,0.16,-14.995582,-1.9809932,-72.25070876
Aug-09,0.16,-12.2480563,-1.496347,-44.57849769
Sep-09,0.15,-7.4006495,-1.3787231,-36.27319512
Oct-09,0.12,-8.0143968,-0.2366909,1.648807702
Nov-09,0.12,-6.4185316,1.8647216,37.95197251
Dec-09,0.12,-3.1924439,2.7835355,62.26333962
Jan-10,0.11,0.0497389,2.5737862,56.15870088
Feb-10,0.13,1.0155404,2.1075728,53.20665731
Mar-10,0.16,3.3321407,2.2596756,52.69814772
Apr-10,0.20,4.6034701,2.1510908,52.49148231
May-10,0.20,7.212043,1.9673924,28.17746053
Jun-10,0.18,7.811778,1.1746873,8.584468588
Jul-10,0.18,7.5492545,1.3737179,15.94571396
Aug-10,0.19,6.7323621,1.189507,6.060028411
Sep-10,0.19,6.5109134,1.1234599,14.03080833
Oct-10,0.19,5.927151,1.1546062,12.75529969
Nov-10,0.19,5.8586782,1.0562672,10.65599005
Dec-10,0.18,6.5216207,1.4174592,20.55303064
Jan-11,0.17,5.617445,1.6368127,23.67825564
Feb-11,0.16,5.0322045,2.0726319,34.10139655
Mar-11,0.14,5.1967214,2.6000021,37.45031484
Apr-11,0.10,4.3445487,2.991428,37.37645815
May-11,0.09,3.1163457,3.4018625,41.4769939
Jun-11,0.09,3.0830044,3.499913,42.04231247
Jul-11,0.07,3.3123088,3.566489,43.67257937
Aug-11,0.10,3.3605565,3.6775289,35.8153601
Sep-11,0.08,3.1629848,3.7904023,37.12268233
Oct-11,0.07,4.1318149,3.4697596,28.15242868
Nov-11,0.08,4.0285167,3.3945748,26.15160191
Dec-11,0.07,3.7580012,2.98008,16.51344236
Jan-12,0.08,4.3601131,2.9145847,13.69832606
Feb-12,0.10,5.0242441,2.8191782,14.01978037
Mar-12,0.13,3.6060607,2.5856644,9.011048929
Apr-12,0.14,4.8901887,2.240228,-2.888970924
May-12,0.16,4.5443665,1.7208378,-4.127866022
Jun-12,0.16,4.4220231,1.6978605,-17.91464219
Jul-12,0.16,4.1695363,1.4268666,-13.08846461
Aug-12,0.13,2.9559698,1.6830255,2.809022693
Sep-12,0.14,2.958742,1.9538593,0.026585139
Oct-12,0.16,2.1739987,2.1359989,1.952516154
Nov-12,0.16,3.4760337,1.7559169,-1.555779003
Dec-12,0.16,2.8850301,1.7457248,1.49064225
Jan-13,0.08,-0.0430697,1.6343781,2.030027235
Feb-13,0.08,1.4810169,1.3500788,-2.787163166
Mar-13,0.08,2.0830224,1.6451812,-14.54336358
Apr-13,0.08,2.2483754,1.7447444,-15.79854414
May-13,0.08,1.2662517,2.1771748,-7.311851467
Jun-13,0.08,2.6483754,2.5565381,7.839230198
Jul-13,0.08,0.5803108,2.6949862,5.045002332
Aug-13,0.08,1.5258178,2.5763105,-1.851904777
Sep-13,0.08,1.3109564,3.5555539,-1.122706259
Oct-13,0.08,2.507895,4.3844401,-2.382466961
Nov-13,0.08,0.013737,4.6230429,-1.17132997
Dec-13,0.08,1.1492566,4.5944843,1.153247742
