month,dln_OilP,dln_cpi,int3m
01/2011,3.309994843,0.555087705,2.400
02/2011,3.113804679,0.396325505,2.566
03/2011,4.496129675,0.490226366,2.703
04/2011,3.417929088,1.362338194,2.899
05/2011,-0.892614016,0.340635791,3.113
06/2011,-1.923680254,0.12890375,3.288
07/2011,1.727354289,0.187200242,3.495
08/2011,-3.049972765,0.431563042,3.600
09/2011,-3.865358023,-0.349773004,3.600
10/2011,-0.906624524,0.198354887,3.541
11/2011,-2.2100347,0.20959486,3.322
12/2011,-1.75333233,-0.478051397,3.261
01/2012,8.85105685,0.396594478,3.081
02/2012,6.111767236,0.360235123,3.078
03/2012,3.998400412,0.589835747,3.112
04/2012,-0.340269927,0.425752901,3.136
05/2012,-4.477359535,0.389640649,3.144
06/2012,-5.176964641,0.171418818,3.136
07/2012,2.086087936,0.330578813,3.137
08/2012,2.098859752,0.408859173,3.130
09/2012,-2.609209598,0.316849875,3.131
10/2012,0.227143766,0.135486077,2.881
11/2012,-1.629771599,-0.350381822,2.869
12/2012,1.146472861,0.384224679,2.866
01/2013,1.499108827,0.157782068,2.869
02/2013,3.99007393,0.224971973,2.864
03/2013,0.242489678,0.056164,2.855
04/2013,-4.965167618,0.157091594,2.852
05/2013,-0.6810469,0.246360707,2.602
06/2013,3.028835006,0.145292007,2.601
07/2013,3.341340308,0.111619612,2.598
08/2013,-1.236574897,-0.011156356,2.602
09/2013,-0.978534582,0.167214798,2.602
10/2013,-1.347469858,0.155815279,2.603
11/2013,-0.388350003,0.111148172,2.366
12/2013,3.576196567,0.144308178,2.405
01/2014,2.096401573,0.409587112,2.390
02/2014,0,0.242745347,2.388
03/2014,0.602174879,0.20917055,2.175
04/2014,0.338762539,0.49366564,2.182
05/2014,0.196175478,0.40408508,2.182
06/2014,-0.482745949,-0.109051265,2.184
07/2014,-0.418301264,-0.076406706,2.181
08/2014,-2.118162326,-0.087393495,2.179
09/2014,-4.347916542,-0.175016452,2.181
10/2014,-2.978521132,-0.098581529,2.182
11/2014,-5.200580967,-0.109649134,2.175
12/2014,-10.88377232,-0.505940367,2.182
01/2015,-10.69775741,-0.586122773,2.176
02/2015,2.159428661,0.110852467,2.175
03/2015,3.18983188,0.177108747,1.935
04/2015,-2.895605849,0.011058889,1.693
05/2015,-1.554435444,0.165736738,1.658
06/2015,6.9862815,0.110338751,1.658
07/2015,-4.04597413,-0.077224341,1.628
08/2015,-3.613962612,-0.209910037,1.630
09/2015,-3.011472091,-0.055312795,1.635
10/2015,0.578816974,0.198983042,1.630
11/2015,-3.36494971,-0.320778993,1.633
12/2015,-5.521746029,-0.38852244,1.632
01/2016,-3.378555249,-0.267290503,1.614
02/2016,-4.583672213,0.144871034,1.615
03/2016,4.670628741,0.222469502,1.601
04/2016,2.234729869,0.542967703,1.597
05/2016,5.054928628,0.562015915,1.601
06/2016,-0.486027688,0.0329616,1.594
07/2016,-4.229486104,-0.352151789,1.592
08/2016,-1.924369839,-0.033077899,1.597
09/2016,5.950645143,0.033077899,1.593
10/2016,3.438963433,0.154219022,1.594
11/2016,-0.987564811,-0.044038314,1.595
12/2016,5.446412542,0.121058728,1.590
01/2017,2.817087697,0.16484426,1.587
02/2017,1.703248278,0.032936269,1.588
03/2017,-4.257523734,-0.451070681,1.593
04/2017,1.56253179,0.154253005,1.587
05/2017,-1.825344031,0.143022193,1.588
06/2017,-4.027389914,0.02198527,1.586
07/2017,-0.431457818,-0.131984181,1.582
08/2017,3.666241204,0.109998911,1.584
09/2017,2.839189586,0.580982725,1.573
10/2017,-0.702276034,0.152905229,1.568
11/2017,3.068173465,0.076365029,1.571
12/2017,-0.252116107,-0.08727908,1.571
01/2018,0.647018792,0.07637336,1.576
02/2018,-1.479904288,-0.229295291,1.574
03/2018,-0.364299128,-0.087489069,1.574
04/2018,1.772518825,0.44757457,1.574
05/2018,4.350036933,0.55395786,1.580
06/2018,-0.516263408,-0.08669268,1.581
07/2018,0.550586387,-0.04337454,1.585
08/2018,1.295619897,0.259965484,1.588
09/2018,3.233076127,0.291655621,1.590
10/2018,0.163853879,0.053917077,1.614
11/2018,-6.144355561,-0.21584295,1.613
12/2018,-6.844586633,-0.661213184,1.864
01/2019,-2.989815885,-0.021753317,1.872
02/2019,2.503924441,0.239026624,1.874
03/2019,5.680449418,0.411523215,1.875
04/2019,3.649405843,0.44212074,1.875
05/2019,-0.616229269,0.472306589,1.876
06/2019,-6.747322611,-0.364768133,1.875
07/2019,2.00043041,0.064467607,1.874
08/2019,-1.890278021,-0.193527638,1.624
09/2019,0.183318108,0.086058525,1.620
10/2019,-2.3347364,-0.139882737,1.621
11/2019,0.299513515,-0.12929643,1.375
12/2019,-0.637542006,0,1.370
01/2020,-1.784067057,0.161594433,1.364
02/2020,-2.324785056,-0.075378241,1.122
03/2020,-16.82307861,-0.865525256,0.873
04/2020,-22.01332445,-2.052874112,0.871
05/2020,8.739665921,0.011090778,0.631
06/2020,11.0221563,1.551612972,0.626
07/2020,1.413118192,0.663875758,0.629
08/2020,0.466636404,0.292445375,0.631
09/2020,-0.560225555,-0.108213407,0.627
10/2020,0.420463128,0.043299416,0.626
11/2020,-0.79569809,-0.043299416,0.625
12/2020,4.950598381,0.151466003,0.622
01/2021,5.057747474,0.097249994,0.624
02/2021,6.581321857,-0.922265529,0.627
03/2021,4.47632621,0.228646188,0.623
04/2021,0.947156162,1.371733989,0.623
05/2021,2.898753687,-0.916004034,0.625
06/2021,2.51987534,0.378194843,0.627
07/2021,3.951699414,-0.118707185,0.624
08/2021,0.222373514,-0.183734178,0.622
09/2021,0.988588246,1.577709141,0.624
10/2021,5.823504833,0.732059924,0.622
11/2021,1.500028111,0.285005735,0.621
12/2021,-4.612977173,-0.38018844,0.623
01/2022,6.45591548,1.125794414,0.623
02/2022,8.53851715,1.04080873,0.624
03/2022,9.843119241,0.670762538,0.627
04/2022,-0.723704373,0.338826753,0.629
05/2022,7.926419459,1.384386931,0.627
06/2022,6.449358842,0.895693605,0.726
07/2022,-11.23496096,-0.150398585,0.753
08/2022,-7.028653273,0.040128411,0.938
09/2022,-5.887318991,0.220418885,1.220
10/2022,-0.200429559,0.339694602,1.252
11/2022,1.761409176,-0.129747012,1.373
12/2022,-3.466899278,-0.049947556,1.448
01/2023,2.788739008,0.289349167,1.659
02/2023,1.519443976,-0.119629164,1.751
03/2023,-0.111763074,-0.25968852,1.887
04/2023,1.992869718,0.179856164,1.930
05/2023,-4.598511324,-0.721373732,2.113
06/2023,0.1433692,0.601505573,2.209
07/2023,4.410046701,-0.009995502,2.320
08/2023,6.671790677,0.538332473,2.414
09/2023,1.282667821,-0.358566121,2.623
10/2023,-3.873249603,-0.279776362,2.643
11/2023,-7.370529658,-0.240432895,2.650
12/2023,-5.216790846,-0.462451814,2.651
01/2024,1.159380548,0.020151134,2.654
02/2024,6.372674293,0.221394878,2.650
03/2024,1.9684944,0.030152269,2.651
04/2024,4.568379719,0.850557987,2.650
05/2024,-0.459493345,0.615875593,2.651
06/2024,-2.256874484,-0.307463669,2.651
07/2024,2.340881264,0.188557591,2.651
08/2024,-4.842999117,0.079286426,2.648
09/2024,-3.586440299,-0.099117859,2.651
10/2024,-0.837584999,-0.069441003,2.400
11/2024,1.289690884,-0.129089934,2.399
12/2024,0.951289056,-0.169061748,2.394
01/2025,-0.714204803,0.099482698,2.399
