x,y,z
4.016114712,0.092790243,3.580340461
3.263589378,-1.555821353,3.598813292
2.600671596,-1.598179832,3.26765624
3.290020875,-1.170186783,4.100238108
3.43957249,-1.472096274,4.684156671
2.929853079,-1.287319683,4.729529766
3.692079606,-1.759019388,5.425848371
3.709374549,-0.484503043,4.701448761
3.752311267,-1.20780856,4.892389994
4.176893191,-0.89759474,5.252838335
4.111747036,-1.59141777,5.538303616
4.955116081,-2.695478755,6.566985363
5.119206346,-2.049164084,6.756975467
5.214279778,-2.025399805,6.725715604
5.371994884,-2.470608234,7.271376382
5.467725081,-2.387499333,7.529073234
4.67392331,-2.165527717,6.948065036
4.499564613,-1.673060929,6.790301232
4.402371424,-1.488491288,5.625765454
3.816159724,-0.125910356,5.723654459
3.984975206,-1.843949596,6.337898787
3.964118688,-1.032185991,5.704326336
3.005500042,-0.460598925,4.932653603
2.252175751,-0.15698848,5.252431726
2.643737876,-0.585496094,4.42552163
2.46474713,-1.69691809,4.1287961
2.345152042,-1.200586692,4.437279542
3.271431807,-1.132317207,5.231024208
2.91214949,-1.973931593,4.598906949
4.525118615,-1.696621571,5.613849754
3.969049582,-2.181891274,5.23387139
5.266892367,-1.46855112,5.280504851
4.469712901,-2.436961861,4.492813766
2.505205674,-1.500732783,4.008824198
3.078630948,-0.926170172,3.788825318
3.262852487,-0.50296867,4.044132915
3.222871929,-0.722521782,4.491312738
3.026950959,-1.232956582,5.109970893
2.647397435,-0.923872249,3.92830842
2.548162815,-2.280969626,3.641677318
2.067955868,-2.924538547,3.90710086
2.759784606,-1.446228629,3.792577239
2.168890469,-0.755416873,2.56413337
2.297004,-0.432606259,2.220965391
2.413677083,-1.097426679,1.960354972
2.055518689,-0.431265996,1.657338553
2.030099559,-1.34603732,1.835816701
1.131852275,-0.731864135,0.568339424
1.280698513,-0.092587657,0.461433211
1.491634834,0.395359908,0.40782021
0.703635688,0.554065282,-0.044978428
0.63700887,-0.381664964,0.036464006
1.596339128,-0.670622159,0.552692654
1.29871994,-0.692341542,-0.099691379
1.683772447,0.413609876,-0.741322527
0.553942636,-0.078799087,-1.245833196
0.198628469,0.484610117,-1.1797089
0.160585048,0.981496703,-1.091378186
0.223343439,0.806698169,-0.694070208
0.230533614,0.05625496,-0.914903369
0.485847922,0.166851838,-0.832359366
1.35729089,0.800931988,-0.031278561
0.508828386,0.169404174,-0.789978437
0.329403548,-0.358194476,-0.922012275
0.141814484,-0.103191492,-0.025253881
1.354353381,-0.244726509,0.960012264
0.270186014,-0.684594673,0.688401766
-0.692535899,-0.899860328,-0.490992035
-0.949314265,0.631472375,-1.143476616
-1.122773519,0.133942063,-0.86455614
-0.67892583,0.182026985,-1.356917786
-1.783690109,0.811882053,-2.109653862
-3.156893225,0.199533539,-2.668216064
-3.224321776,1.37494723,-3.252467325
-2.735951439,1.991332266,-3.12293536
-2.339462135,1.451151143,-2.791391133
-1.762780014,0.785098009,-2.326682076
-2.459874493,1.14303106,-2.863355262
-2.582733294,0.534417152,-3.016541264
-3.10860964,1.253230958,-3.928937833
-3.229996529,1.916249668,-4.346148303
-2.824396875,1.707708685,-4.061329234
-2.7483741,1.123278145,-4.166941657
-3.261585472,2.556861096,-4.952343554
-2.859701687,2.770833342,-5.090087735
-1.96922555,1.969866332,-4.596022818
-3.236926187,1.80043082,-5.301873126
-3.933373081,1.956558639,-6.038693452
-4.530268266,1.754788464,-7.478876836
-4.53224347,2.124729189,-6.899138918
-4.438975273,1.660673244,-6.803623814
-4.319497459,2.533805749,-6.659912353
-4.495880554,1.495767224,-6.051035275
-4.615009375,1.272419232,-6.402590174
-5.152989583,2.655345046,-6.720326532
-5.449420943,2.140008139,-6.721354508
-5.772517895,1.50636282,-6.656898763
-4.999399469,2.269225817,-6.528900166
-4.243094525,2.394467385,-5.615695542
-4.20096375,1.24536359,-5.64010674
-5.023775933,1.461788465,-6.111260668
-5.04004553,1.520246724,-6.47739394
-5.588590128,1.39981584,-6.470447485
-6.194409866,1.664632014,-6.65346094
-5.534014333,2.274162061,-6.735643707
-4.962530352,1.956687184,-6.588610762
-5.329803502,1.980793815,-6.39999137
-5.493339083,1.267051774,-6.709248886
-6.100773248,1.489793284,-7.346963168
-6.799950008,1.470356254,-7.325242827
-6.160939458,1.469694091,-6.860871614
-5.093760049,1.069541427,-5.985225513
-5.028041522,1.655371943,-5.449424803
-6.272133938,3.467237989,-6.915015107
-5.617609775,2.892307282,-7.017060813
-4.809337763,2.044461546,-6.462973837
-6.487004879,1.779951916,-7.510125938
-5.847099488,1.828161532,-7.692123652
-7.521146672,2.63959664,-7.596875598
-7.908322871,2.442119175,-6.895376633
-6.752293433,2.731703049,-7.106914041
-5.703397152,2.402926224,-5.808088174
-5.857389151,3.503671145,-6.480758133
-5.287502464,2.027007812,-5.873696391
-5.038654286,1.021621121,-6.110628879
-5.130898269,2.149303148,-6.774791278
-5.667536957,2.700944572,-6.872089982
-5.709720839,2.703191917,-7.599090556
-5.656666323,2.442341301,-6.992906992
-6.329324663,2.779333212,-8.562927937
-6.165903682,2.98797898,-8.787888281
-5.834644928,2.700617131,-8.660621941
-6.099545726,2.768870347,-8.562390453
-6.138393659,2.862624546,-8.294051273
-5.775041946,3.352120618,-7.695704787
-5.758345922,2.371966807,-7.771053729
-5.207762929,1.14235045,-6.811800909
-6.666997872,1.38107217,-7.934658488
-6.297753337,1.483847428,-7.411164283
-5.694841313,1.734897609,-6.609390794
-5.060291283,1.611860445,-6.473454173
-4.414125227,2.490045256,-6.764878163
-4.817443205,2.345175559,-6.662075218
-4.345209431,2.121428275,-6.949886857
-4.314642051,2.126680025,-7.067103923
-3.515729469,2.072315596,-6.602120074
-3.708912064,1.777296035,-6.595421681
-3.329995105,2.115556378,-6.175996138
-3.885844563,1.606715495,-6.713444668
-4.710077771,2.19856056,-7.264184643
-5.384845696,1.035292834,-8.151619239
-5.664806794,2.877708287,-8.451936712
-4.849380471,1.720930494,-8.019812762
-5.802818905,1.00562428,-8.259488875
-5.622442741,2.17273996,-7.686186769
-7.554698745,3.222430762,-9.274300129
-6.733093518,3.044484618,-8.413123413
-6.634385618,2.708007646,-8.758806709
-7.570439714,2.759647697,-8.799821299
-6.96423324,3.184982934,-9.080001151
-7.897531851,3.03674,-8.933946358
-8.348617912,2.581709714,-9.854554823
-8.03941386,3.389569326,-9.9341011
-7.88492532,2.887510976,-9.731691168
-8.101610329,2.039962522,-9.281066783
-7.956571287,2.745610583,-9.258472196
-7.3093786,1.819511276,-9.304088235
-7.085316631,1.966914714,-8.688748073
-7.794339411,2.687146368,-8.822717743
-7.510580445,2.816704727,-9.098361479
-6.84353436,2.77766352,-8.460146746
-6.807808896,3.772871093,-8.570895571
-7.877732554,3.195459292,-8.561807623
-7.210986246,2.834945035,-8.591452564
-8.110488439,2.454863079,-9.006127798
-7.950872673,2.628652922,-9.258941772
-7.456916746,2.617892305,-8.983121833
-8.553684094,2.848067579,-9.806576022
-8.047968561,3.254740883,-9.87454937
-8.254178726,3.079629817,-10.35780197
-8.316697455,3.158957418,-10.39903432
-7.616284905,2.961939826,-9.29133463
-7.360373375,2.670106011,-9.214414006
-7.234387493,3.355039817,-8.530536959
-6.567614349,3.260995792,-9.527184751
-6.518835941,2.961739597,-9.607566068
-6.126149453,2.984631862,-9.11139593
-6.787303555,1.776421819,-9.327413537
-7.448262877,2.28795296,-9.971940087
-7.107684454,2.756434735,-9.590865046
-7.182556148,3.052610076,-9.548145229
-8.050277696,3.669529129,-10.3796664
-7.523758968,3.233324137,-10.70948621
-8.790241502,3.421768317,-11.15631226
-8.986624161,3.321508453,-11.42595764
-8.545007863,3.963400015,-11.53444254
-9.612613907,4.583529516,-11.49973787
-9.14141329,3.495943949,-10.78336815
-7.763499021,2.72848485,-10.47036858
-6.995660688,3.764808147,-9.692227385
-7.076584525,4.114035537,-9.7525064
-7.884232185,3.241022126,-10.28923415
-8.273883121,3.470840532,-10.41798689
-8.985366243,3.131731471,-10.86011358
-8.928355979,3.243304298,-10.67544177
-8.173733975,3.297022895,-10.15562054
-7.52949989,3.491686795,-10.03596786
-7.130840214,2.650494847,-9.575750165
-6.581315709,3.203854867,-9.438281688
-7.459572757,3.011121973,-9.092486938
-7.16671387,3.277137394,-8.556905749
-6.186799841,3.153082372,-8.95320953
-6.488602538,2.259190083,-8.869091881
-6.17852902,1.64524122,-7.924000086
-6.731123411,1.935074518,-8.023346239
-7.154716611,2.61718635,-9.076478125
-7.372179961,3.438820027,-9.154836464
-8.495884793,3.413101667,-10.23017195
-8.481788954,4.000382743,-10.43164773
-8.382277521,2.983549031,-10.96966135
-7.851075324,3.235370411,-10.62396718
-6.698377486,2.266973581,-9.21082724
-7.879904272,2.333139926,-9.109281232
-6.80059216,2.704477243,-8.335773039
-5.74287858,2.104403026,-7.965932956
-7.513609611,1.932922277,-8.135047949
-6.818090753,2.13405525,-7.448838443
-6.640988891,1.645472611,-6.897221922
-5.742467838,1.697208182,-6.677831589
-5.649365109,1.474288317,-6.70516104
-6.342167234,3.734128926,-6.892148366
-6.327966475,1.959825409,-6.758289569
-5.816637573,2.100701388,-6.649449419
-5.333252057,3.109474266,-6.802312183
-5.241135221,2.336838202,-6.926449099
-5.234956763,2.532987446,-6.710907657
-5.000662535,2.736315784,-6.296626686
-4.55968761,2.397289744,-5.920390428
-3.676059659,1.576651101,-5.695264261
-3.956148219,1.602816103,-5.31693731
-4.064060727,2.073418364,-5.159359812
-3.819991453,1.237892448,-4.631208116
-3.464509294,1.280735487,-4.599441548
-2.902007539,1.490311255,-4.536599871
-3.686829776,1.597680071,-4.828312246
-3.910906552,1.622981919,-5.336727182
-3.819604322,1.51267929,-5.181858482
-3.864193268,1.241480636,-5.532612937
-4.731054784,0.953450768,-6.080351764
-3.567525927,1.367573814,-5.882674844
-3.892106623,0.937759223,-6.161317198
-3.345126307,1.480480091,-5.271883344
-3.275759082,0.748008275,-5.476062559
-4.242512936,1.289145179,-5.737490856
-3.699085333,1.824272963,-5.49475967
-3.513722114,2.319395347,-5.579217205
-3.235106742,2.712648325,-4.984791908
-3.40268201,2.482506655,-5.321733462
-3.62394081,2.113480334,-5.421937372
-3.379564319,2.313050246,-5.412578806
-3.656593496,1.917054885,-5.631407234
-3.540289773,1.74849219,-5.573210587
-4.607239184,2.469815295,-5.800942917
-6.422004397,2.178246418,-6.473408576
-6.117010036,2.181168008,-6.922081942
-6.134099854,1.885546405,-7.208250998
-6.848639693,2.010287119,-7.795905053
-5.641517729,1.523672965,-7.410174672
-5.183506919,2.532362834,-7.786051722
-5.591873063,2.979755249,-7.87961958
-6.090866033,4.127247442,-7.912960509
-5.642379699,2.771454698,-7.733625702
-6.12439204,2.768883606,-8.542988734
-5.7325963,2.478909607,-8.837846861
-6.817218004,3.275874772,-8.777237374
-6.142824595,1.757545302,-8.092987737
-4.980597608,1.419482825,-7.637502366
-4.883404892,1.067128512,-7.344218387
-4.28787017,2.09973822,-6.988763245
-5.872708212,0.916567808,-7.91812522
-5.099320327,0.756414652,-7.519795938
-6.607432776,1.444878599,-8.138300224
-6.980031768,2.018620488,-8.247999413
-6.764401698,2.560015486,-7.822129793
-7.536815102,3.661123792,-7.73828234
-7.012115076,2.859941981,-7.464148166
-6.537740972,2.460093427,-7.720496222
-6.075317225,1.3239957,-7.366726863
-6.152156092,2.547253769,-7.940027359
-5.679022574,2.709714001,-7.936230269
-5.260990986,2.134799474,-7.735520234
-5.489846106,2.292083585,-7.291484736
-4.619430225,1.535785161,-6.519365965
-3.924594715,3.055507161,-6.407549493
-4.084460677,1.450365129,-6.351943046
-3.938349495,1.359943864,-6.22888173
-3.176006993,0.582402357,-5.666670438
-3.503498603,2.04625596,-5.984689453
-3.92355502,2.090675572,-5.949239557
-4.416900992,1.715160308,-7.053337947
-3.975220784,2.300074342,-6.859245265
-4.135400066,2.885024013,-6.864204942
-4.478318266,2.833719606,-7.103816335
-4.865470528,2.155986556,-7.256828482
-4.982577355,2.254565273,-6.603542685
-5.297332129,0.88883286,-6.71465671
-6.642945245,1.786843513,-7.114782961
-6.079144018,1.329779955,-6.712595012
-6.64480691,1.480785058,-7.521229082
-5.85082129,2.381046554,-7.684171841
-6.060794916,1.690452326,-7.68127082
-7.039678567,2.83275041,-7.393050058
-6.887600378,1.771695676,-7.560388596
-7.426123857,1.424943309,-8.136979647
-7.3325875,1.681418922,-8.141627624
-6.566102619,2.496822492,-8.259354051
-6.606860824,1.937863731,-8.466064825
-6.642505621,3.14279694,-8.911198395
-7.25081204,2.628071169,-9.240785634
-6.906220797,2.469540356,-8.743013585
-6.860440682,2.418332604,-8.342901726
-6.285808804,2.410571718,-8.08316294
-4.838365108,1.776777104,-7.277787307
-5.975818191,2.529247742,-8.254094561
-6.561947474,3.219182543,-8.197702223
